gene,biological_process,molecular_function,systematic_name,a_number,nutrient,growth_rate,expression
WTM2,regulation of meiosis,transcription corepressor activity,YOR229W,1081324,G,0.3,0.2
PKC1,cell wall organization and biogenesis*,protein kinase C activity,YBL105C,1082629,G,0.3,-0.05
SPR6,sporulation (sensu Fungi),molecular function unknown,YER115C,1086307,G,0.3,-0.08
,biological process unknown,molecular function unknown,YDR266C,1082053,G,0.3,-0.15
TIR3,biological process unknown,molecular function unknown,YIL011W,1085721,G,0.3,-0.1
YND1,protein amino acid glycosylation,nucleoside-diphosphatase activity,YER005W,1086548,G,0.3,0.19
,biological process unknown,molecular function unknown,YOR081C,1085329,G,0.3,0.46
FCY21,biological process unknown,cytosine-purine permease activity,YER060W,1085218,G,0.3,0.11
,biological process unknown,molecular function unknown,YHL026C,1085234,G,0.3,0.14
,biological process unknown,molecular function unknown,YOR066W,1081828,G,0.3,-0.27
,,,YIR020C,1081612,G,0.3,0.06
MUC1,pseudohyphal growth*,molecular function unknown,YIR019C,1081089,G,0.3,1.81
UME1,regulation of meiosis,transcription corepressor activity,YPL139C,1081516,G,0.3,0.16
ALD6,acetate biosynthesis,aldehyde dehydrogenase activity,YPL061W,1085873,G,0.3,0.8
ICS2,biological process unknown,molecular function unknown,YBR157C,1085048,G,0.3,0.01
HYP2,translational initiation,protein binding*,YEL034W,1085621,G,0.3,0.57
FUI1,uridine transport,uridine transporter activity,YBL042C,1081775,G,0.3,0.69
COQ5,aerobic respiration*,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",YML110C,1081952,G,0.3,0.19
PPA1,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",YHR026W,1082203,G,0.3,-0.34
MSU1,RNA catabolism,exoribonuclease II activity,YMR287C,1081878,G,0.3,0.07
DID4,protein retention in Golgi*,protein binding,YKL002W,1082247,G,0.3,-0.12
,biological process unknown,molecular function unknown,YHR054C,1082210,G,0.3,-0.21
RSC30,"regulation of transcription, DNA-dependent",DNA binding,YHR056C,1083968,G,0.3,-0.3
SOV1,biological process unknown,molecular function unknown,YMR066W,1083811,G,0.3,-0.29
,biological process unknown,molecular function unknown,YPR196W,1086839,G,0.3,-0.17
,biological process unknown,molecular function unknown,YIL092W,1080819,G,0.3,-0.3
,biological process unknown,molecular function unknown,YGR122W,1082277,G,0.3,-0.35
,biological process unknown,molecular function unknown,YJR098C,1086593,G,0.3,-0.15
FLO8,pseudohyphal growth*,specific RNA polymerase II transcription factor activity,YER109C,1080911,G,0.3,-0.16
TCO89,glycerol metabolism,molecular function unknown,YPL180W,1084834,G,0.3,-0.2
CUE3,biological process unknown,molecular function unknown,YGL110C,1081736,G,0.3,0.06
,biological process unknown,molecular function unknown,YBL104C,1081278,G,0.3,0.06
MUM2,premeiotic DNA synthesis,molecular function unknown,YBR057C,1081948,G,0.3,0.03
,biological process unknown,molecular function unknown,YMR075W,1084646,G,0.3,-0.02
RTF1,transcription from RNA polymerase II promoter*,RNA polymerase II transcription elongation factor activity,YGL244W,1082372,G,0.3,-0.03
MUK1,regulation of transcription,molecular function unknown,YPL070W,1081186,G,0.3,-0.26
TCM10,protein complex assembly,molecular function unknown,YDR350C,1082025,G,0.3,0.06
RED1,synaptonemal complex formation,molecular function unknown,YLR263W,1083060,G,0.3,0
FCY2,purine transport*,cytosine-purine permease activity,YER056C,1082650,G,0.3,-0.32
,transport,transporter activity,YEL006W,1082580,G,0.3,-0.05
DCG1,nitrogen compound metabolism,molecular function unknown,YIR030C,1082865,G,0.3,0.04
,biological process unknown,molecular function unknown,YDR090C,1086107,G,0.3,-0.31
,biological process unknown,molecular function unknown,YHR029C,1084892,G,0.3,-0.29
SPS4,sporulation (sensu Fungi)*,molecular function unknown,YOR313C,1086742,G,0.3,0.11
,sulfur metabolism*,cystathionine beta-lyase activity,YFR055W,1083469,G,0.3,0.01
GLN3,positive regulation of transcription from RNA polymerase II promoter*,transcription factor activity*,YER040W,1086298,G,0.3,-0.24
SFT2,Golgi to endosome transport,molecular function unknown,YBL102W,1086403,G,0.3,-0.26
OAR1,aerobic respiration*,3-oxoacyl-[acyl-carrier protein] reductase activity,YKL055C,1082075,G,0.3,-0.33
LST4,vesicle-mediated transport*,protein transporter activity,YKL176C,1082435,G,0.3,-0.31
,iron ion homeostasis,molecular function unknown,YMR134W,1080705,G,0.3,0.01
CIN1,post-chaperonin tubulin folding pathway*,beta-tubulin binding,YOR349W,1081591,G,0.3,0.04
RAD55,meiotic DNA recombinase assembly*,protein binding,YDR076W,1082449,G,0.3,0
AGA1,agglutination during conjugation with cellular fusion,cell adhesion molecule binding,YNR044W,1084103,G,0.3,0.55
EXG1,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity",YLR300W,1081993,G,0.3,-0.28
RAD5,DNA repair,ATPase activity,YLR032W,1081898,G,0.3,0.16
SPC42,microtubule nucleation*,structural constituent of cytoskeleton,YKL042W,1081744,G,0.3,0.06
,biological process unknown,molecular function unknown,YBR239C,1085110,G,0.3,-0.15
,biological process unknown,oxidoreductase activity,YOR246C,1084961,G,0.3,0.18
SDT1,pyrimidine base metabolism,nucleotidase activity,YGL224C,1081355,G,0.3,-0.03
YBP2,biological process unknown,molecular function unknown,YGL060W,1086201,G,0.3,0.09
,biological process unknown,molecular function unknown,YMR317W,1086717,G,0.3,-0.05
,biological process unknown,molecular function unknown,YCR102C,1081990,G,0.3,-0.12
PRP21,"nuclear mRNA splicing, via spliceosome",RNA binding,YJL203W,1086787,G,0.3,0.12
BI2,RNA splicing,nuclease activity,Q0110,1085918,G,0.3,-0.47
PET111,protein biosynthesis,translation regulator activity,YMR257C,1084959,G,0.3,-0.06
,biological process unknown,RNA binding,YDR117C,1084157,G,0.3,0.01
,biological process unknown,molecular function unknown,YDR338C,1082096,G,0.3,-0.42
SPF1,protein amino acid glycosylation*,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",YEL031W,1083842,G,0.3,-0.35
ERG4,ergosterol biosynthesis,delta24(24-1) sterol reductase activity,YGL012W,1082100,G,0.3,-0.44
RCE1,protein processing*,prenyl-dependent CAAX protease activity,YMR274C,1083502,G,0.3,-0.39
RBA50,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity,YDR527W,1084582,G,0.3,-0.22
NSL1,chromosome segregation,molecular function unknown,YPL233W,1083199,G,0.3,-0.25
PXL1,maintenance of cell polarity (sensu Fungi),protein binding,YKR090W,1082110,G,0.3,-0.15
RRN7,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity,YJL025W,1083550,G,0.3,0
,biological process unknown,molecular function unknown,YMR171C,1085890,G,0.3,-0.43
IST2,response to osmotic stress,molecular function unknown,YBR086C,1082732,G,0.3,-0.81
,biological process unknown,transcriptional activator activity,YLL054C,1084544,G,0.3,-0.38
,biological process unknown,molecular function unknown,YOR291W,1081041,G,0.3,-0.17
HXT12,biological process unknown*,molecular function unknown*,YIL170W,1082688,G,0.3,-0.21
,biological process unknown,molecular function unknown,YNL320W,1086515,G,0.3,-0.16
SHS1,establishment of cell polarity (sensu Fungi)*,structural constituent of cytoskeleton,YDL225W,1083956,G,0.3,-0.06
RUD3,ER to Golgi transport,molecular function unknown,YOR216C,1082666,G,0.3,-0.03
CTK1,protein amino acid phosphorylation*,protein kinase activity*,YKL139W,1082151,G,0.3,-0.35
,biological process unknown,molecular function unknown,YOR006C,1086687,G,0.3,0.06
RPB2,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity,YOR151C,1086652,G,0.3,-0.18
NPL6,protein-nucleus import,molecular function unknown,YMR091C,1084093,G,0.3,-0.2
,biological process unknown,molecular function unknown,YOR166C,1082394,G,0.3,-0.15
,biological process unknown,molecular function unknown,YDR065W,1084452,G,0.3,-0.1
SET7,biological process unknown,molecular function unknown,YDR257C,1083532,G,0.3,-0.09
URB1,rRNA processing*,molecular function unknown,YKL014C,1082304,G,0.3,0.03
MPP10,rRNA modification*,molecular function unknown,YJR002W,1085791,G,0.3,-0.04
ALA1,alanyl-tRNA aminoacylation,alanine-tRNA ligase activity,YOR335C,1084771,G,0.3,0.03
ESC2,chromatin silencing at silent mating-type cassette,molecular function unknown,YDR363W,1081671,G,0.3,0.04
UTP22,35S primary transcript processing,snoRNA binding,YGR090W,1085612,G,0.3,0.15
AAH1,adenine catabolism,adenine deaminase activity,YNL141W,1083247,G,0.3,0.44
SEC53,protein-ER targeting,phosphomannomutase activity,YFL045C,1085263,G,0.3,0.57
ARO7,aromatic amino acid family biosynthesis,chorismate mutase activity,YPR060C,1082569,G,0.3,0.02
,biological process unknown,molecular function unknown,YLR049C,1081083,G,0.3,-0.21
,fatty acid elongation,ketoreductase activity,YBR159W,1084878,G,0.3,-0.03
DPP1,signal transduction*,phosphatidate phosphatase activity*,YDR284C,1083367,G,0.3,-0.04
,biological process unknown,molecular function unknown,YGR026W,1086149,G,0.3,0
,biological process unknown,molecular function unknown,YDR307W,1084130,G,0.3,-0.07
SVL3,endocytosis,molecular function unknown,YPL032C,1085653,G,0.3,0.34
SDA1,actin cytoskeleton organization and biogenesis*,molecular function unknown,YGR245C,1083234,G,0.3,0.23
,,,YCR013C,1083382,G,0.3,-0.2
,,,YPL136W,1082930,G,0.3,-0.15
GTT3,glutathione metabolism,molecular function unknown,YEL017W,1084395,G,0.3,0.01
,biological process unknown,molecular function unknown,YJR030C,1086072,G,0.3,0
SXM1,mRNA-nucleus export*,protein carrier activity,YDR395W,1081484,G,0.3,0
,biological process unknown,molecular function unknown,YLR363W-A,1083553,G,0.3,0.37
DHR2,ribosome biogenesis,RNA helicase activity,YKL078W,1083415,G,0.3,0.23
ENP2,rRNA processing,molecular function unknown,YGR145W,1086141,G,0.3,0.01
,phospholipid biosynthesis,acyltransferase activity,YBR042C,1085038,G,0.3,-0.06
ALG14,dolichol-linked oligosaccharide biosynthesis,"transferase activity, transferring glycosyl groups",YBR070C,1086662,G,0.3,0.02
LSM4,"nuclear mRNA splicing, via spliceosome*",RNA binding,YER112W,1082706,G,0.3,0.15
MPA43,biological process unknown,molecular function unknown,YNL249C,1081856,G,0.3,0.07
IMP4,rRNA modification*,rRNA primary transcript binding,YNL075W,1081420,G,0.3,0.27
PRP39,"nuclear mRNA splicing, via spliceosome",RNA binding,YML046W,1081190,G,0.3,-0.03
RSR1,bipolar bud site selection*,GTPase activity*,YGR152C,1083524,G,0.3,0.05
UTP30,35S primary transcript processing,snoRNA binding,YKR060W,1084896,G,0.3,0.14
POL30,nucleotide-excision repair*,DNA polymerase processivity factor activity,YBR088C,1086170,G,0.3,0.24
CPR7,response to stress,unfolded protein binding*,YJR032W,1080952,G,0.3,-0.12
KRR1,rRNA processing*,molecular function unknown,YCL059C,1086531,G,0.3,0.22
NUP133,mRNA-nucleus export*,structural molecule activity,YKR082W,1083606,G,0.3,0.02
,biological process unknown,molecular function unknown,YDR267C,1084425,G,0.3,0.04
CLB4,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity,YLR210W,1081810,G,0.3,0.03
VPH1,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism",YOR270C,1084923,G,0.3,-0.56
SWI5,G1-specific transcription in mitotic cell cycle,transcriptional activator activity,YDR146C,1083930,G,0.3,-0.13
CDC45,DNA replication initiation*,DNA binding,YLR103C,1081825,G,0.3,0.03
VRG4,protein amino acid N-linked glycosylation*,nucleotide-sugar transporter activity,YGL225W,1080892,G,0.3,-0.21
HTB2,chromatin assembly or disassembly,DNA binding,YBL002W,1081649,G,0.3,0.15
,,,YLR112W,1083997,G,0.3,0.3
NUP82,mRNA-nucleus export*,structural molecule activity,YJL061W,1085040,G,0.3,-0.04
POL5,rRNA transcription,molecular function unknown*,YEL055C,1085713,G,0.3,0.06
OGG1,DNA repair*,purine-specific oxidized base lesion DNA N-glycosylase activity,YML060W,1081539,G,0.3,-0.02
,biological process unknown,molecular function unknown,YMR259C,1081695,G,0.3,0.19
RAS1,Ras protein signal transduction*,GTPase activity,YOR101W,1083540,G,0.3,0.38
SKG6,biological process unknown,molecular function unknown,YHR149C,1085698,G,0.3,-0.05
PFK27,"fructose 2,6-bisphosphate metabolism*",6-phosphofructo-2-kinase activity,YOL136C,1085951,G,0.3,0.04
RTT107,double-strand break repair*,molecular function unknown,YHR154W,1082258,G,0.3,-0.15
DUN1,protein amino acid phosphorylation*,protein kinase activity,YDL101C,1083432,G,0.3,-0.26
,biological process unknown,molecular function unknown,YPL267W,1085580,G,0.3,-0.5
HLR1,cell wall organization and biogenesis,molecular function unknown,YDR528W,1082810,G,0.3,-0.32
ALG2,oligosaccharide-lipid intermediate assembly,glycolipid mannosyltransferase activity,YGL065C,1082940,G,0.3,-0.33
PAN2,postreplication repair*,poly(A)-specific ribonuclease activity,YGL094C,1083948,G,0.3,-0.22
,biological process unknown,molecular function unknown,YLR455W,1082335,G,0.3,-0.25
YCS4,mitotic sister chromatid segregation*,molecular function unknown,YLR272C,1082115,G,0.3,-0.17
BNI4,chitin biosynthesis*,protein binding,YNL233W,1084388,G,0.3,-0.4
PLM2,G1/S-specific transcription in mitotic cell cycle,transcription factor activity,YDR501W,1086832,G,0.3,-0.01
RNR1,DNA replication,ribonucleoside-diphosphate reductase activity,YER070W,1085763,G,0.3,0.08
TOS2,budding cell bud growth,molecular function unknown,YGR221C,1083856,G,0.3,-0.08
POL1,DNA replication initiation*,alpha DNA polymerase activity,YNL102W,1081269,G,0.3,0.12
,biological process unknown,molecular function unknown,YOL007C,1085722,G,0.3,-0.23
FAT1,lipid transport*,long-chain-fatty-acid-CoA ligase activity*,YBR041W,1080902,G,0.3,-0.07
PIS1,cell cycle*,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,YPR113W,1082273,G,0.3,-0.36
ECM3,cell wall organization and biogenesis,ATPase activity,YOR092W,1081415,G,0.3,-0.32
,biological process unknown,molecular function unknown,YDL046W,1085943,G,0.3,-0.45
,biological process unknown,molecular function unknown,YNL321W,1084513,G,0.3,-0.35
MSC7,meiotic recombination,molecular function unknown,YHR039C,1086236,G,0.3,-0.22
,biological process unknown,molecular function unknown,YKR027W,1080694,G,0.3,-0.21
ERG24,ergosterol biosynthesis,delta14-sterol reductase activity,YNL280C,1081588,G,0.3,-0.12
GCN1,regulation of translational elongation,molecular function unknown,YGL195W,1086426,G,0.3,0.19
NAM7,mRNA catabolism*,ATP-dependent RNA helicase activity*,YMR080C,1081870,G,0.3,-0.11
EMP70,transport,transporter activity,YLR083C,1084231,G,0.3,-0.12
,biological process unknown,molecular function unknown,YMR221C,1085292,G,0.3,-0.4
RSC3,"regulation of transcription, DNA-dependent*",DNA binding,YDR303C,1084661,G,0.3,-0.16
SWE1,G2/M transition of mitotic cell cycle*,protein kinase activity,YJL187C,1085861,G,0.3,0
GAS3,biological process unknown,"1,3-beta-glucanosyltransferase activity",YMR215W,1084464,G,0.3,-0.11
GIC1,establishment of cell polarity (sensu Fungi)*,small GTPase regulator activity,YHR061C,1081271,G,0.3,-0.04
HSD1,biological process unknown,molecular function unknown,YOR311C,1082369,G,0.3,-0.07
,biological process unknown,molecular function unknown,YBR187W,1084701,G,0.3,-0.22
KAP122,protein-nucleus import*,protein carrier activity,YGL016W,1084900,G,0.3,0
VAC17,vacuole inheritance,receptor activity,YCL063W,1086195,G,0.3,-0.03
SCC2,mitotic sister chromatid cohesion*,protein kinase activity,YDR180W,1084542,G,0.3,0.06
APA1,nucleotide metabolism,bis(5'-nucleosyl)-tetraphosphatase activity,YCL050C,1085815,G,0.3,0.05
SEC12,ER to Golgi transport*,guanyl-nucleotide exchange factor activity,YNR026C,1083055,G,0.3,-0.17
THS1,protein biosynthesis,threonine-tRNA ligase activity,YIL078W,1086489,G,0.3,-0.07
GRS1,glycyl-tRNA aminoacylation*,glycine-tRNA ligase activity,YBR121C,1081685,G,0.3,0.14
RVB1,regulation of transcription from RNA polymerase II promoter*,ATPase activity,YDR190C,1082766,G,0.3,-0.06
PDR16,response to drug*,phosphatidylinositol transporter activity,YNL231C,1085730,G,0.3,0.04
GCD6,translational initiation,translation initiation factor activity*,YDR211W,1081836,G,0.3,-0.24
TCB3,biological process unknown,lipid binding,YML072C,1082262,G,0.3,-0.61
,biological process unknown,molecular function unknown,YMR247C,1083915,G,0.3,-0.14
ASI1,ubiquitin-dependent protein catabolism,ubiquitin-protein ligase activity,YMR119W,1082950,G,0.3,-0.28
MCD1,mitotic sister chromatid cohesion*,molecular function unknown,YDL003W,1082982,G,0.3,-0.16
SEN34,tRNA splicing,tRNA-intron endonuclease activity,YAR008W,1083370,G,0.3,0.09
CDC21,DNA-dependent DNA replication*,thymidylate synthase activity,YOR074C,1086366,G,0.3,0.05
RAD27,DNA repair*,5'-flap endonuclease activity,YKL113C,1083443,G,0.3,0.07
DBF4,protein amino acid phosphorylation*,protein serine/threonine kinase activity,YDR052C,1084460,G,0.3,0.05
GIN4,protein amino acid phosphorylation*,protein kinase activity,YDR507C,1084260,G,0.3,-0.01
BEM3,establishment of cell polarity (sensu Fungi)*,signal transducer activity*,YPL115C,1082266,G,0.3,-0.29
HPR1,mRNA-nucleus export*,nucleic acid binding,YDR138W,1081105,G,0.3,-0.22
SPC97,microtubule nucleation,structural constituent of cytoskeleton,YHR172W,1084969,G,0.3,-0.18
MRC1,chromatin silencing at telomere*,molecular function unknown,YCL061C,1081029,G,0.3,-0.07
SAS3,chromatin silencing at telomere*,histone acetyltransferase activity*,YBL052C,1086574,G,0.3,0.24
ERG5,ergosterol biosynthesis,C-22 sterol desaturase activity,YMR015C,1081522,G,0.3,-0.21
HSL1,protein amino acid phosphorylation*,protein kinase activity,YKL101W,1082807,G,0.3,-0.17
,biological process unknown,molecular function unknown,YDL211C,1083274,G,0.3,0.07
HCM1,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity,YCR065W,1086922,G,0.3,-0.04
,biological process unknown,molecular function unknown,YBR238C,1081543,G,0.3,0.04
,biological process unknown,molecular function unknown,YDR444W,1086380,G,0.3,0.07
,biological process unknown,molecular function unknown,YDR539W,1083471,G,0.3,-0.15
,,,YGL193C,1082906,G,0.3,0.06
HRK1,cell ion homeostasis,protein kinase activity,YOR267C,1085793,G,0.3,-0.32
,biological process unknown,molecular function unknown,YDL012C,1083272,G,0.3,0.03
URA6,'de novo' pyrimidine base biosynthesis*,uridine kinase activity,YKL024C,1084814,G,0.3,0
,biological process unknown,molecular function unknown,YKR045C,1082410,G,0.3,0.11
NOG2,ribosome assembly*,GTPase activity,YNR053C,1083070,G,0.3,-0.04
PTM1,biological process unknown,molecular function unknown,YKL039W,1081200,G,0.3,-0.1
ALG1,protein amino acid N-linked glycosylation*,"beta-1,4-mannosyltransferase activity",YBR110W,1080847,G,0.3,-0.25
KAR2,"SRP-dependent cotranslational protein-membrane targeting, translocation*",ATPase activity*,YJL034W,1080992,G,0.3,-0.23
PUS1,tRNA modification,tRNA-pseudouridine synthase activity,YPL212C,1082079,G,0.3,0.05
LPP1,phospholipid metabolism,phosphatidate phosphatase activity,YDR503C,1084404,G,0.3,-0.09
MET31,regulation of transcription*,DNA binding*,YPL038W,1085569,G,0.3,-0.33
SER3,serine family amino acid biosynthesis,phosphoglycerate dehydrogenase activity,YER081W,1082259,G,0.3,0.02
GAL80,"regulation of transcription, DNA-dependent*",transcription corepressor activity,YML051W,1085250,G,0.3,0.11
RPL3,protein biosynthesis*,structural constituent of ribosome,YOR063W,1082105,G,0.3,-0.06
,biological process unknown,molecular function unknown,YLR326W,1082291,G,0.3,-0.01
DOS2,biological process unknown,molecular function unknown,YDR068W,1081219,G,0.3,-0.07
RRP14,establishment of cell polarity (sensu Fungi)*,molecular function unknown,YKL082C,1083423,G,0.3,0.09
INO80,DNA repair*,ATPase activity,YGL150C,1082163,G,0.3,-0.04
,biological process unknown,molecular function unknown,YKL105C,1083270,G,0.3,-0.48
BMH1,sporulation (sensu Fungi)*,protein binding*,YER177W,1081650,G,0.3,-0.3
RRP6,35S primary transcript processing*,3'-5'-exoribonuclease activity,YOR001W,1081417,G,0.3,-0.16
BUD3,cytokinesis*,molecular function unknown,YCL014W,1085259,G,0.3,-0.44
,response to pheromone,protein kinase activity,YNR047W,1081329,G,0.3,-0.94
POM152,mRNA-nucleus export*,structural molecule activity,YMR129W,1083311,G,0.3,-0.24
YCF1,response to metal ion*,bilirubin transporter activity*,YDR135C,1085992,G,0.3,-0.18
DRS2,processing of 20S pre-rRNA*,ATPase activity*,YAL026C,1085438,G,0.3,-0.18
,biological process unknown,prenyltransferase activity,YDL193W,1085207,G,0.3,-0.21
RHR2,response to osmotic stress*,glycerol-1-phosphatase activity,YIL053W,1086251,G,0.3,0.19
FBA1,glycolysis*,fructose-bisphosphate aldolase activity,YKL060C,1086701,G,0.3,0.06
QDR1,multidrug transport,multidrug transporter activity*,YIL120W,1085849,G,0.3,0.13
THI7,thiamin transport,thiamin transporter activity,YLR237W,1083159,G,0.3,-0.23
,biological process unknown,molecular function unknown,YDL089W,1083256,G,0.3,-0.18
SLN1,protein amino acid phosphorylation*,osmosensor activity*,YIL147C,1085050,G,0.3,-0.27
CWH41,cell wall organization and biogenesis,mannosyl-oligosaccharide glucosidase activity,YGL027C,1083901,G,0.3,-0.32
PPR1,"regulation of transcription, DNA-dependent*",transcription factor activity,YLR014C,1084840,G,0.3,-0.25
SEC2,exocytosis,guanyl-nucleotide exchange factor activity,YNL272C,1084202,G,0.3,-0.2
SKT5,response to osmotic stress*,enzyme activator activity,YBL061C,1083358,G,0.3,-0.09
SMI1,cell wall organization and biogenesis*,molecular function unknown,YGR229C,1081215,G,0.3,-0.06
GCR1,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*,YPL075W,1084394,G,0.3,-0.25
TDH1,glycolysis*,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity,YJL052W,1082564,G,0.3,-0.68
ADH1,fermentation,alcohol dehydrogenase activity,YOL086C,1082338,G,0.3,-0.49
PFK2,glycolysis,6-phosphofructokinase activity,YMR205C,1080760,G,0.3,-0.53
PGK1,glycolysis*,phosphoglycerate kinase activity,YCR012W,1081896,G,0.3,-0.56
ENO2,glycolysis*,phosphopyruvate hydratase activity,YHR174W,1083820,G,0.3,-0.28
ENO1,glycolysis*,phosphopyruvate hydratase activity,YGR254W,1085707,G,0.3,-0.52
PGI1,glycolysis*,glucose-6-phosphate isomerase activity,YBR196C,1084903,G,0.3,-0.25
OYE2,biological process unknown,NADPH dehydrogenase activity,YHR179W,1085449,G,0.3,-0.48
CDC1,DNA repair*,molecular function unknown,YDR182W,1085117,G,0.3,-0.15
,biological process unknown,molecular function unknown,YNR014W,1083755,G,0.3,0.43
PDC5,pyruvate metabolism*,pyruvate decarboxylase activity,YLR134W,1084056,G,0.3,-0.24
PDC1,pyruvate metabolism*,pyruvate decarboxylase activity,YLR044C,1081771,G,0.3,-0.2
VID24,vesicle-mediated transport*,molecular function unknown,YBR105C,1084537,G,0.3,0.09
YEH1,sterol metabolism,sterol esterase activity,YLL012W,1084081,G,0.3,-0.05
,biological process unknown,molecular function unknown,YJR015W,1082980,G,0.3,-0.07
PHO91,phosphate transport,phosphate transporter activity,YNR013C,1081477,G,0.3,-0.09
MNN2,protein amino acid glycosylation,"alpha-1,2-mannosyltransferase activity",YBR015C,1086071,G,0.3,0.1
GEF1,iron ion homeostasis*,voltage-gated chloride channel activity,YJR040W,1085054,G,0.3,0.05
JEM1,protein folding*,unfolded protein binding*,YJL073W,1081212,G,0.3,-0.06
UBP12,biological process unknown,ubiquitin-specific protease activity,YJL197W,1084601,G,0.3,0.02
,biological process unknown,molecular function unknown,YLR114C,1082510,G,0.3,-0.14
RBS1,galactose metabolism,molecular function unknown,YDL189W,1086010,G,0.3,-0.07
,,,YBR206W,1082343,G,0.3,-0.21
NDC1,protein-nucleus import*,structural constituent of cytoskeleton,YML031W,1082894,G,0.3,-0.12
,biological process unknown,oxidoreductase activity,YGL160W,1086811,G,0.3,-0.28
ROT2,cell wall biosynthesis (sensu Fungi),alpha-glucosidase activity,YBR229C,1081553,G,0.3,-0.07
DNF1,endocytosis*,phospholipid-translocating ATPase activity,YER166W,1086192,G,0.3,-0.59
,biological process unknown,molecular function unknown,YPR091C,1085212,G,0.3,-0.68
PRP31,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism",YGR091W,1082425,G,0.3,-0.21
PMT3,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,YOR321W,1081743,G,0.3,-0.48
,,,YDR094W,1081494,G,0.3,-0.24
SYP1,biological process unknown,molecular function unknown,YCR030C,1083383,G,0.3,-0.62
HMG1,ergosterol biosynthesis,hydroxymethylglutaryl-CoA reductase (NADPH) activity,YML075C,1080744,G,0.3,-0.29
,biological process unknown,molecular function unknown,YKR018C,1084150,G,0.3,-0.64
ECM33,cell wall organization and biogenesis,molecular function unknown,YBR078W,1083507,G,0.3,-0.26
PDR15,transport,"ATPase activity, coupled to transmembrane movement of substances",YDR406W,1082043,G,0.3,-0.54
SHE10,biological process unknown,molecular function unknown,YGL228W,1082256,G,0.3,-0.43
USO1,ER to Golgi transport*,molecular function unknown,YDL058W,1084284,G,0.3,-0.36
,biological process unknown,receptor activity,YPL176C,1086727,G,0.3,-0.4
,,,YOR015W,1085109,G,0.3,-0.48
,ubiquitin-dependent protein catabolism,protein binding,YLR224W,1085818,G,0.3,0.06
,biological process unknown,molecular function unknown,YBR007C,1080721,G,0.3,-0.39
,biological process unknown,molecular function unknown,YDR415C,1086060,G,0.3,-0.1
GCR2,positive regulation of transcription from RNA polymerase II promoter*,transcriptional activator activity,YNL199C,1085841,G,0.3,-0.01
SSF2,ribosomal large subunit assembly and maintenance*,rRNA binding,YDR312W,1085211,G,0.3,0.11
CGR1,rRNA processing*,molecular function unknown,YGL029W,1081739,G,0.3,-0.2
EFB1,translational elongation,translation elongation factor activity,YAL003W,1085558,G,0.3,-0.07
SPB4,35S primary transcript processing*,ATP-dependent RNA helicase activity,YFL002C,1083775,G,0.3,-0.14
,biological process unknown,molecular function unknown,YER137C,1082607,G,0.3,-0.21
,biological process unknown,molecular function unknown,YLR218C,1081171,G,0.3,-0.11
,biological process unknown,molecular function unknown,YBL107C,1084616,G,0.3,0.14
SPO12,regulation of exit from mitosis*,molecular function unknown,YHR152W,1084993,G,0.3,0.02
RRP46,35S primary transcript processing*,3'-5'-exoribonuclease activity,YGR095C,1085562,G,0.3,0.05
NOP8,rRNA processing*,molecular function unknown,YOL144W,1082480,G,0.3,0.11
FYV7,processing of 20S pre-rRNA,molecular function unknown,YLR068W,1086191,G,0.3,-0.33
REV1,DNA repair*,DNA-directed DNA polymerase activity*,YOR346W,1086870,G,0.3,-0.08
HCA4,35S primary transcript processing,ATP-dependent RNA helicase activity,YJL033W,1083310,G,0.3,-0.01
,biological process unknown,molecular function unknown,YLR143W,1083634,G,0.3,0.03
BUD20,bud site selection,molecular function unknown,YLR074C,1085585,G,0.3,-0.13
,biological process unknown,molecular function unknown,YLR162W,1086245,G,0.3,-0.52
CUE1,ER-associated protein catabolism*,protein binding,YMR264W,1085855,G,0.3,-0.08
POM34,nucleocytoplasmic transport,molecular function unknown,YLR018C,1085197,G,0.3,-0.2
,biological process unknown,molecular function unknown,YCR100C,1081401,G,0.3,-0.18
,biological process unknown,molecular function unknown,YCR099C,1082941,G,0.3,-0.21
YCK2,protein amino acid phosphorylation*,casein kinase I activity,YNL154C,1081699,G,0.3,-0.19
UTP20,35S primary transcript processing,snoRNA binding,YBL004W,1080807,G,0.3,0.05
,biological process unknown,molecular function unknown,YMR269W,1083276,G,0.3,0.28
DML1,mitochondrial genome maintenance*,structural molecule activity,YMR211W,1084978,G,0.3,-0.02
